ICAO_Code...1,Location_Name,Latitude,Longitude,Terr_code,ICAO Member State,ICAO_Code...7,...8,ICAO_Code...9,...10,...11,...12,...13,...14
EPMB,MALBORK,54.0266666666667,19.1355555555556,EP,Poland,EPMB,NA,HTMP,NA,NA,NA,NA,FALSE PASS
CZEE,"KELSEY, MB",56.0367861111111,-96.5061388888889,CZ,Canada,CZEE,NA,HTMS,NA,NA,NA,NA,FALUN/FALU LASARETT
EFMI,MIKKELI,61.6863888888889,27.2,EF,Finland,EFMI,NA,HTMT,NA,NA,NA,NA,FANGATAU
DRRT,TAHOUA,14.8780555555556,5.27,DR,Niger,DRRT,NA,HTMU,NA,NA,NA,NA,FANO
PWAK,WAKE ISLAND AIRFIELD,19.2824888888889,166.636661111111,PW,United States,PWAK,NA,HTMV,NA,NA,NA,NA,FARADJE
KTSP,TEHACHAPI MUNI,35.1349944444444,-118.4393,KT,United States,KTSP,NA,HTMW,NA,NA,NA,NA,FARAFANGANA
KANP,LEE,38.9428777777778,-76.5683972222222,KA,United States,KANP,NA,HTMX,NA,NA,NA,NA,FARAH
KHAI,THREE RIVERS MUNI DR HAINES,41.95975,-85.5930555555556,KH,United States,KHAI,NA,HTNA,NA,NA,NA,NA,FARANAH/BADALA
LFDM,MARMANDE-VIRAZEIL,44.4991666666667,0.200277777777778,LF,France,LFDM,NA,HTNB,NA,NA,NA,NA,FARAWAY BAY
LFLG,GRENOBLE-LE VERSOUD,45.2180555555556,5.84861111111111,LF,France,LFLG,NA,HTNF,NA,NA,NA,NA,FARELLONES/HLP VALLE NEVADO
LFGF,BEAUNE-CHALLANGES,47.0102777777778,4.89638888888889,LF,France,LFGF,NA,HTNH,NA,NA,NA,NA,FAREWELL
LFEQ,QUIBERON,47.4813888888889,-3.10166666666667,LF,France,LFEQ,NA,HTNJ,NA,NA,NA,NA,FAREWELL LAKE
LOIJ,ST. JOHANN/TIROL,47.5205555555556,12.4494444444444,LO,Austria,LOIJ,NA,HTNK,NA,NA,NA,NA,FARIBAULT MUNI
UKHP,POLTAVA/SUPRUNIVKA,49.5694444444444,34.3941666666667,UK,Ukraine,UKHP,NA,HTNO,NA,NA,NA,NA,FARM CENTRE
CYAX,"LAC DU BONNET, MB",50.2947305555556,-96.0099694444445,CY,Canada,CYAX,NA,HTNR,NA,NA,NA,NA,FARMINGTON RGNL
CYPU,"PUNTZI MOUNTAIN, BC",52.1128333333333,-124.144766666667,CY,Canada,CYPU,NA,HTNW,NA,NA,NA,NA,FARNBOROUGH
PAHX,SHAGELUK,62.6923055555555,-159.569222222222,PA,United States,PAHX,NA,HTNY,NA,NA,NA,NA,FARNSFIELD
ULDD,AMDERMA,69.7638889,61.5622222,UL,Russian Federation,ULDD,NA,HTOM,NA,NA,NA,NA,FARO
MDSI,SAN ISIDRO,18.5038888888889,-69.7616666666667,MD,Dominican Republic,MDSI,NA,HTOP,NA,NA,NA,NA,FARO - HOSPITAL DISTRITAL (HEL)
KBNG,BANNING MUNI,33.9225555555556,-116.850972222222,KB,United States,KBNG,NA,HTOZ,NA,NA,NA,NA,"FARO, YT"
OSLK,BASSEL AL ASSAD INTL. LATTAKIA,35.4099027777778,35.9478361111111,OS,Syrian Arab Republic,OSLK,NA,HTPD,NA,NA,NA,NA,FARQUHAR
KFFA,FIRST LIGHT,36.0175833333333,-75.6715833333333,KF,United States,KFFA,NA,HTPE,NA,NA,NA,NA,FARSUND/LISTA
LEMO,SEVILLA/MORON (MILITAR),37.175,-5.61611111111111,LE,Spain,LEMO,NA,HTPP,NA,NA,NA,NA,FARTHING CORNER
LGMG,MEGARA,37.9813888888889,23.3661111111111,LG,Greece,LGMG,NA,HTPT,NA,NA,NA,NA,FASA
LEGC,ALTAREJOS-GUADALCANAL (SEVILLA),38.1716666666667,-5.73972222222222,LE,Spain,LEGC,NA,HTPW,NA,NA,NA,NA,FASCA/CASANARE
LFYR,ROMORANTIN-PRUNIERS,47.3208333333333,1.68888888888889,LF,France,LFYR,NA,HTRA,NA,NA,NA,NA,FASSBERG
EDNL,LEUTKIRCH-UNTERZEIL,47.8588888888889,10.0144444444444,ED,Germany,EDNL,NA,HTRE,NA,NA,NA,NA,FATUNDU
LFOJ,ORLEANS-BRICY,47.9877777777778,1.76055555555556,LF,France,LFOJ,NA,HTRG,NA,NA,NA,NA,FAYA LARGEAU
CYGE,"GOLDEN, BC",51.2991861111111,-116.982122222222,CY,Canada,CYGE,NA,HTRK,NA,NA,NA,NA,FAYENCE
EIME,CASEMENT,53.3030555555556,-6.45527777777778,EI,Ireland,EIME,NA,HTRL,NA,NA,NA,NA,FAYETTEVILLE MUNI
KFSU,FORT SUMNER MUNI,34.4877694444444,-104.216947222222,KF,United States,KFSU,NA,HTRN,NA,NA,NA,NA,FAYETTEVILLE RGNL/GRANNIS FIELD
KLTS,ALTUS AFB,34.6664611111111,-99.2680944444444,KL,United States,KLTS,NA,HTRS,NA,NA,NA,NA,FDERIK AIRPORT
KEED,NEEDLES,34.7663444444444,-114.623277777778,KE,United States,KEED,NA,HTRX,NA,NA,NA,NA,FEDERATION
LTFB,IZMIR/SELCUK-EFES,37.9511111111111,27.3327777777778,LT,Türkiye,LTFB,NA,HTRZ,NA,NA,NA,NA,FEHRBELLIN
LFBC,CAZAUX,44.535,-1.13138888888889,LF,France,LFBC,NA,HTSA,NA,NA,NA,NA,FEILDING
CYOS,"OWEN SOUND/BILLY BISHOP REGIONAL, ON",44.5904777777778,-80.8381944444444,CY,Canada,CYOS,NA,HTSB,NA,NA,NA,NA,FELDBACH LKH (HEL)
EDNR,REGENSBURG-OBERHUB,49.142,12.0818333333333,ED,Germany,EDNR,NA,HTSD,NA,NA,NA,NA,"FELDKIRCH ""DR. SCHENK"" (HEL)"
EDAD,DESSAU,51.8321666666667,12.1858333333333,ED,Germany,EDAD,NA,HTSE,NA,NA,NA,NA,FELDKIRCH LKH (HEL)
EYKS,KAUNAS/S.DARIAUS AND S.GIRENO,54.8797222222222,23.8808333333333,EY,Lithuania,EYKS,NA,HTSH,NA,NA,NA,NA,FELDKIRCHEN/OSSIACHER SEE
PAJC,CHIGNIK,56.3114611111111,-158.373236111111,PA,United States,PAJC,NA,HTSI,NA,NA,NA,NA,Felipe Carrillo Puerto International Airport
CYEU,"EUREKA, NU",79.9945416666667,-85.8119027777778,CY,Canada,CYEU,NA,HTSK,NA,NA,NA,NA,FELIX HOUPHOUET BOIGNY D'ABIDJAN AEROPORT INTERNATIONAL
SCNT,NATALES/AD TENIENTE JULIO GALLARDO,-51.6708333333333,-72.5286111111111,SC,Chile,SCNT,NA,HTSL,NA,NA,NA,NA,FELKER AAF
KDLF,LAUGHLIN AFB,29.3594833333333,-100.777975,KD,United States,KDLF,NA,HTSM,NA,NA,NA,NA,FELTS FIELD
LTBD,AYDIN/CILDIR,37.8152777777778,27.8880555555556,LT,Türkiye,LTBD,NA,HTSN,NA,NA,NA,NA,FENLAND
KCNK,BLOSSER MUNI,39.5492222222222,-97.6523055555556,KC,United States,KCNK,NA,HTSO,NA,NA,NA,NA,FERA
KLOL,DERBY FIELD,40.0664666666667,-118.565086111111,KL,United States,KLOL,NA,HTSS,NA,NA,NA,NA,FERGANA
KLCG,WAYNE MUNI/STAN MORRIS FLD,42.2416055555556,-96.9822694444444,KL,United States,KLCG,NA,HTSU,NA,NA,NA,NA,FERGANA
LFBR,MURET-LHERM,43.4491666666667,1.26361111111111,LF,France,LFBR,NA,HTSW,NA,NA,NA,NA,FERGANA INTERNATIONAL AIRPORT
KPHP,PHILIP,44.0487305555556,-101.598838888889,KP,United States,KPHP,NA,HTSY,NA,NA,NA,NA,FERGUS FALLS MUNI-EINAR MICKELSON FLD
KMVE,MONTEVIDEO-CHIPPEWA COUNTY,44.9691944444444,-95.7103888888889,KM,United States,KMVE,NA,HTTA,NA,NA,NA,NA,FERKESSEDOUGOU
