1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,...16,reordonnés pour match fct,...18,...19,...20,...21,...22,...23,...24,...25,for tests
NA,NA,ICAO_TYPE_CODE,AC_CATEGORY,EQV_TYPE,EQV_NAME,ICAO_ENGINE_DESC,CO2_COEFF,MASS,BAND_FROM_NM,BAND_TO_NM,BAND_FLOOR_NM,FUEL_TOT,FUEL_TOT_MARG_RATE,CORR_FACTOR,range 0,BreakPoint_1,BreakPoint_2,range 99999,Slope_1,Slope_2,Slope_3,Intercept_1,Intercept_2,Intercept_3,NB_equations
NA,NA,AC6L,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,3667,0,999999,0,NA,NA,1,0,999999,NA,999999,0.71686361867596804,NA,NA,206.77167738615,NA,NA,1
NA,NA,AC80,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,3958,0,999999,0,NA,NA,1,0,999999,NA,999999,0.74731048300562997,NA,NA,102.585627976355,NA,NA,1
NA,NA,AC90,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,4741,0,999999,0,NA,NA,1,0,999999,NA,999999,0.81834110618633704,NA,NA,106.516798665362,NA,NA,1
NA,NA,AC95,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,4848,0,999999,0,NA,NA,1,0,999999,NA,999999,0.82803267474040898,NA,NA,107.053175913993,NA,NA,1
NA,NA,ACAR,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,980,0,999999,0,NA,NA,1,0,999999,NA,999999,0.48757292911925698,NA,NA,172.76938199825699,NA,NA,1
NA,NA,AD4,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,8000,0,999999,0,NA,NA,1,0,999999,NA,999999,1.08661956398482,NA,NA,261.60404279151402,NA,NA,1
NA,NA,AE45,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,1361,0,999999,0,NA,NA,1,0,999999,NA,999999,0.52010662278627995,NA,NA,177.59391396797599,NA,NA,1
NA,NA,AEST,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,2681,0,999999,0,NA,NA,1,0,999999,NA,999999,0.63271843725423704,NA,NA,194.293502543111,NA,NA,1
NA,NA,AJ27,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,43245,0,999999,0,NA,NA,1,0,999999,NA,999999,4.0942262086909604,NA,NA,707.61225072005504,NA,NA,1
NA,NA,AJET,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,7163,0,999999,0,NA,NA,1,0,999999,NA,999999,1.01519999537879,NA,NA,251.01299230920699,NA,NA,1
NA,NA,AKNC,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",Z,3.15,6125,0,999999,0,NA,NA,1,0,999999,NA,999999,0.92661779185193005,NA,NA,237.87683638305899,NA,NA,1
NA,NA,ALIZ,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,8000,0,999999,0,NA,NA,1,0,999999,NA,999999,1.1137923258744,NA,NA,122.868466760882,NA,NA,1
NA,NA,ALO2,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,1561,0,999999,0,NA,NA,1,0,999999,NA,999999,0.52998834484254698,NA,NA,90.557992833054001,NA,NA,1
NA,NA,ALO3,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,2198,0,999999,0,NA,NA,1,0,999999,NA,999999,0.58777423504569404,NA,NA,93.756137346397495,NA,NA,1
NA,NA,AMX,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,12702,0,999999,0,NA,NA,1,0,999999,NA,999999,1.4878884256452301,NA,NA,321.10956563031402,NA,NA,1
NA,NA,AN12,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,61016,0,999999,0,NA,NA,1,0,999999,NA,999999,5.9202760567436998,NA,NA,388.88201294516102,NA,NA,1
NA,NA,AN2,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,5445,0,999999,0,NA,NA,1,0,999999,NA,999999,0.86859048249173199,NA,NA,229.27176952559199,NA,NA,1
NA,NA,AN22,Turbo Prop,AO SAMPLE,AN22,T,3.15,242472,0,999999,0,NA,NA,1,0,999999,NA,999999,20.149527407744198,NA,NA,5116.2795439307702,NA,NA,1
NA,NA,AN24,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,21853,0,999999,0,NA,NA,1,0,999999,NA,999999,2.3697134544868299,NA,NA,192.377083008612,NA,NA,1
NA,NA,AN26,Turbo Prop,AO SAMPLE,AN26,T,3.15,23800,0,999999,0,NA,NA,1,0,280,999999,999999,1.9695810129836999,4.0593389808370901,NA,964.06788477869202,378.93565377974198,NA,2
NA,NA,AN28,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,6582,0,999999,0,NA,NA,1,0,999999,NA,999999,0.98523924447865296,NA,NA,115.753731130888,NA,NA,1
NA,NA,AN3,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,5780,0,999999,0,NA,NA,1,0,999999,NA,999999,0.91252576490440196,NA,NA,111.729423208505,NA,NA,1
NA,NA,AN30,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,23127,0,999999,0,NA,NA,1,0,999999,NA,999999,2.4851864930812502,NA,NA,198.767907196344,NA,NA,1
NA,NA,AN32,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,26803,0,999999,0,NA,NA,1,0,999999,NA,999999,2.8184865580273701,NA,NA,217.21430942805,NA,NA,1
NA,NA,AN70,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,129605,0,999999,0,NA,NA,1,0,999999,NA,999999,12.138576175764999,NA,NA,733.03215648467005,NA,NA,1
NA,NA,AN72,"Jet <43,3T",AO SAMPLE,AN72,J,3.15,35473,0,999999,0,NA,NA,1,0,400,999999,999999,6.7495632583722998,5.0443644760326301,NA,583.84669933573196,1265.9262122716,NA,2
NA,NA,ANGL,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,2645,0,999999,0,NA,NA,1,0,999999,NA,999999,0.62965450277327095,NA,NA,193.83914128896501,NA,NA,1
NA,NA,ANSN,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,4805,0,999999,0,NA,NA,1,0,999999,NA,999999,0.81397654427037003,NA,NA,221.17288307150599,NA,NA,1
NA,NA,AP22,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,500,0,999999,0,NA,NA,1,0,999999,NA,999999,0.44661247545323501,NA,NA,166.69521715769201,NA,NA,1
